name,neighbourhood_cleansed,longitude,latitude,host_location,host_id,host_since,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,license,property_type,room_type,accommodates,bathrooms_text,price,availability_30,availability_60,availability_90,number_of_reviews,review_scores_rating,review_scores_location,reviews_per_month
Rental unit in Sumida · ★4.77 · 1 bedroom · 2 beds · 1 bath,Sumida Ku,139.82608,35.71707,"Tokyo, Japan",964081,2011-08-13,100.0,100.0,0.0,1,t,M1300,Entire rental unit,Entire home/apt,2,1 bath,73.2,0,0,0,174,4.77,4.54,1.16
Home in Kita-ku · ★4.98 · 1 bedroom · 1 bed · 1 shared bath,Kita Ku,139.76917,35.73844,Japan,801494,2011-07-10,100.0,100.0,0.0,1,t,M1300,Private room in home,Private room,1,1 shared bath,52.1,5,15,16,249,4.98,4.84,1.85
Rental unit in Shibuya · ★4.78 · 2 bedrooms · 4 beds · 1 bath,Shibuya Ku,139.67847,35.67878,"Tokyo, Japan",4847803,2013-01-25,97.0,100.0,0.0,5,t,Hotels and Inns Business Act,Entire rental unit,Entire home/apt,6,1 bath,169.33,0,0,0,198,4.78,4.78,1.52
Home in Setagaya · ★4.95 · 1 bedroom · 2 beds · 1 shared bath,Setagaya Ku,139.67134,35.658,"Tokyo, Japan",5596383,2013-03-24,33.0,96.0,0.0,1,t,M1300,Private room in home,Private room,2,1 shared bath,183.28,0,0,0,260,4.95,4.92,1.99
Home in Shinjuku · ★4.89 · 3 bedrooms · 5 beds · 1.5 baths,Shibuya Ku,139.69009,35.68245,"Tokyo, Japan",4626879,2013-01-08,100.0,100.0,0.0,9,t,M1300,Entire home,Entire home/apt,7,1.5 baths,163.33,3,12,18,220,4.89,4.83,1.95
Home in 足立区 · ★4.75 · 1 bedroom · 1.5 shared baths,Adachi Ku,139.79738412263163,35.744730998785165,"Tokyo, Japan",5686404,2013-03-30,100.0,95.0,1.0,1,t,M1300,Private room in home,Private room,4,1.5 shared baths,36.69,0,4,23,108,4.75,4.7,0.85
Rental unit in Suginami-ku · ★4.86 · 1 bedroom · 1 bed · 1 bath,Suginami Ku,139.6551,35.70679,"Suginami, Japan",19089769,2014-07-29,100.0,95.0,1.0,2,t,M1300,Entire rental unit,Entire home/apt,2,1 bath,73.2,0,18,48,91,4.86,4.9,0.97
Rental unit in Suginami-ku · ★4.92 · Studio · 1 bed · 1 bath,Suginami Ku,139.6554380782686,35.70686575604375,"Suginami, Japan",19089769,2014-07-29,100.0,95.0,1.0,2,t,M1300,Entire rental unit,Entire home/apt,2,1 bath,73.2,0,0,21,133,4.92,4.9,1.18
Home in Shibuya · ★4.97 · 1 bedroom · 1 bed · 1 bath,Shibuya Ku,139.72165,35.65111,"Tokyo, Japan",6809418,2013-06-09,100.0,91.0,0.0,1,t,M1300,Entire home,Entire home/apt,3,1 bath,333.71,11,31,42,121,4.97,4.98,0.97
Rental unit in Suginami-ku · ★4.86 · 1 bedroom · 1 bed · 1 bath,Suginami Ku,139.59775,35.70399,"Tokyo, Japan",18776800,2014-07-24,100.0,97.0,0.0,19,t,M1300,Entire rental unit,Entire home/apt,2,1 bath,91.5,6,18,18,36,4.86,4.71,0.32
Home in Setagaya · ★4.80 · 1 bedroom · 2 beds · 1 shared bath,Setagaya Ku,139.67616,35.60742,"Tokyo, Japan",6876728,2013-06-12,60.0,50.0,1.0,1,t,M1300,Private room in home,Private room,1,1 shared bath,48.8,19,49,79,188,4.8,4.8,1.47
